Transaction ID,Customer ID,Transaction Date,Business Line,Product/Service,Revenue,Data Source,Email,Age Range,Gender,Region
TXN000130,CUST00112,2024-01-20,Theatrical,Space Odyssey 2,23.93,3rd Party - Cinemark,,,,South
TXN000131,CUST00224,2024-01-20,Online Store,Apparel,105.15,1st Party - Online Store,cust00224@email.com,45-54,Other,Midwest
TXN000132,CUST00127,2024-01-20,Studio Tours,Behind-the-Scenes Experience,308.11,1st Party - Studio Tours,cust00127@email.com,55+,M,South
TXN000133,CUST00189,2024-01-21,Online Store,Accessories,73.56,1st Party - Online Store,cust00189@email.com,18-24,F,Midwest
TXN000134,CUST00224,2024-01-21,Streaming,Monthly Subscription,14.11,1st Party - Streaming Platform,cust00224@email.com,35-44,Prefer not to say,International
TXN000135,CUST00198,2024-01-21,Consumer Products,Merchandise - Apparel,51.4,3rd Party - Walmart,,,,International
TXN000136,CUST00194,2024-01-21,Online Store,Books,29.24,1st Party - Online Store,cust00194@email.com,45-54,Prefer not to say,East Coast
TXN000137,CUST00193,2024-01-21,Studio Tours,General Admission,57.48,1st Party - Studio Tours,cust00193@email.com,18-24,Other,Midwest
TXN000138,CUST00035,2024-01-21,Theatrical,Space Odyssey 2,12.69,3rd Party - AMC Theatres,,,,Midwest
TXN000139,CUST00073,2024-01-21,Online Store,Apparel,29.04,1st Party - Online Store,cust00073@email.com,35-44,M,East Coast
TXN000140,CUST00231,2024-01-21,Streaming,Annual Subscription,143.94,1st Party - Streaming Platform,cust00231@email.com,25-34,M,Midwest
TXN000141,CUST00720,2024-01-21,Consumer Products,Merchandise - Home Goods,86.15,3rd Party - Walmart,,,,International
TXN000142,CUST00162,2024-01-22,Studio Tours,VIP Tour,298.94,1st Party - Studio Tours,cust00162@email.com,18-24,Other,South
TXN000143,CUST00032,2024-01-22,Online Store,Apparel,113.94,1st Party - Online Store,cust00032@email.com,,,Southwest
TXN000144,CUST00126,2024-01-22,Theatrical,Space Odyssey 2,25.16,3rd Party - Cinemark,,,,Midwest
TXN000145,CUST00133,2024-01-22,Theatrical,Mystery Manor,20.71,3rd Party - Regal Cinemas,,,,Southwest
TXN000146,CUST00135,2024-01-22,Theatrical,Superhero Origins,17.11,3rd Party - Regal Cinemas,,,,Southwest
TXN000147,CUST00241,2024-01-22,Online Store,Books,114.1,1st Party - Online Store,cust00241@email.com,18-24,F,Midwest
TXN000148,CUST00175,2024-01-22,Theatrical,Space Odyssey 2,13.56,3rd Party - Cinemark,,,,Southwest
TXN000149,CUST00212,2024-01-22,Consumer Products,Merchandise - Home Goods,35.39,3rd Party - Target,,,,International
TXN000150,CUST00139,2024-01-23,Streaming,Premium Tier Upgrade,126.03,1st Party - Streaming Platform,cust00139@email.com,18-24,Prefer not to say,West Coast
TXN000151,CUST00077,2024-01-23,Theatrical,Space Odyssey 2,24.96,3rd Party - AMC Theatres,,,,West Coast
TXN000152,CUST00080,2024-01-23,Consumer Products,Merchandise - Toys,69.96,3rd Party - Target,,,,Southwest
TXN000153,CUST00630,2024-01-23,Consumer Products,Merchandise - Toys,20.3,3rd Party - Walmart,,,,International
TXN000154,CUST00095,2024-01-23,Theatrical,Action Thriller,23.16,3rd Party - Regal Cinemas,,,,South
TXN000155,CUST00753,2024-01-23,Theatrical,Mystery Manor,19.39,3rd Party - Regal Cinemas,,,,West Coast
TXN000156,CUST00113,2024-01-23,Consumer Products,Merchandise - Apparel,47.87,3rd Party - Amazon,,,,International
TXN000157,CUST00725,2024-01-23,Consumer Products,Merchandise - Apparel,33.97,3rd Party - Amazon,,,,East Coast
TXN000158,CUST00107,2024-01-23,Online Store,Accessories,19.21,1st Party - Online Store,cust00107@email.com,55+,M,South
TXN000159,CUST00205,2024-01-23,Online Store,Collectible,21.35,1st Party - Online Store,cust00205@email.com,45-54,Other,Midwest
TXN000160,CUST00075,2024-01-24,Studio Tours,Behind-the-Scenes Experience,341.16,1st Party - Studio Tours,cust00075@email.com,,,International
TXN000161,CUST00151,2024-01-24,Consumer Products,Merchandise - Collectibles,54.32,3rd Party - Walmart,,,,West Coast
TXN000162,CUST00191,2024-01-24,Streaming,Monthly Subscription,13.39,1st Party - Streaming Platform,cust00191@email.com,25-34,F,Midwest
TXN000163,CUST00070,2024-01-24,Online Store,Accessories,112.04,1st Party - Online Store,cust00070@email.com,35-44,M,East Coast
TXN000164,CUST00228,2024-01-24,Streaming,Annual Subscription,96.19,1st Party - Streaming Platform,cust00228@email.com,35-44,M,Southwest
TXN000165,CUST00086,2024-01-24,Streaming,Monthly Subscription,9.92,1st Party - Streaming Platform,cust00086@email.com,55+,Prefer not to say,East Coast
TXN000166,CUST00244,2024-01-24,Theatrical,Action Thriller,24.5,3rd Party - Regal Cinemas,,,,South
TXN000167,CUST00018,2024-01-24,Studio Tours,Behind-the-Scenes Experience,155.9,1st Party - Studio Tours,cust00018@email.com,25-34,M,International
TXN000168,CUST00194,2024-01-25,Consumer Products,Merchandise - Home Goods,83.89,3rd Party - Target,,,,East Coast
TXN000169,CUST00032,2024-01-25,Studio Tours,General Admission,54.54,1st Party - Studio Tours,cust00032@email.com,55+,Prefer not to say,West Coast
TXN000170,CUST00179,2024-01-25,Consumer Products,Merchandise - Apparel,81.92,3rd Party - Walmart,,,,Southwest
TXN000171,CUST00153,2024-01-25,Studio Tours,Behind-the-Scenes Experience,282.39,1st Party - Studio Tours,cust00153@email.com,18-24,M,International
TXN000172,CUST00221,2024-01-25,Online Store,Action Figure,105.91,1st Party - Online Store,cust00221@email.com,18-24,Other,South
TXN000173,CUST00156,2024-01-25,Studio Tours,VIP Tour,251.48,1st Party - Studio Tours,cust00156@email.com,55+,M,Midwest
TXN000174,CUST00237,2024-01-25,Theatrical,Family Adventure,27.71,3rd Party - Regal Cinemas,,,,Southwest
TXN000175,CUST00088,2024-01-25,Online Store,Action Figure,74.23,1st Party - Online Store,cust00088@email.com,55+,Prefer not to say,Midwest
TXN000176,CUST00600,2024-01-25,Theatrical,Mystery Manor,27.34,3rd Party - Regal Cinemas,,,,Midwest
TXN000177,CUST00701,2024-01-25,Consumer Products,Merchandise - Apparel,59.26,3rd Party - Walmart,,,,South
TXN000178,CUST00051,2024-01-26,Studio Tours,VIP Tour,310.55,1st Party - Studio Tours,cust00051@email.com,35-44,Prefer not to say,West Coast
TXN000179,CUST00205,2024-01-26,Consumer Products,Merchandise - Apparel,44.94,3rd Party - Amazon,,,,South
TXN000180,CUST00711,2024-01-26,Theatrical,Family Adventure,12.04,3rd Party - AMC Theatres,,,,Midwest
TXN000181,CUST00170,2024-01-26,Online Store,Action Figure,53.45,1st Party - Online Store,cust00170@email.com,55+,Prefer not to say,International
TXN000182,CUST00152,2024-01-26,Studio Tours,VIP Tour,295.2,1st Party - Studio Tours,cust00152@email.com,,,Southwest
TXN000183,CUST00168,2024-01-26,Studio Tours,Behind-the-Scenes Experience,253.73,1st Party - Studio Tours,cust00168@email.com,25-34,F,Southwest
TXN000184,CUST00025,2024-01-26,Studio Tours,VIP Tour,228.58,1st Party - Studio Tours,cust00025@email.com,45-54,F,West Coast
TXN000185,CUST00181,2024-01-26,Studio Tours,General Admission,82.07,1st Party - Studio Tours,cust00181@email.com,45-54,M,West Coast
TXN000186,CUST00099,2024-01-26,Streaming,Annual Subscription,99.77,1st Party - Streaming Platform,cust00099@email.com,25-34,F,International
TXN000187,CUST00132,2024-01-26,Online Store,Action Figure,86.1,1st Party - Online Store,cust00132@email.com,25-34,M,South
TXN000188,CUST00040,2024-01-26,Online Store,Action Figure,85.73,1st Party - Online Store,cust00040@email.com,45-54,M,East Coast
TXN000189,CUST00114,2024-01-27,Streaming,Annual Subscription,125.89,1st Party - Streaming Platform,cust00114@email.com,,,South
TXN000190,CUST00070,2024-01-27,Online Store,Action Figure,82.45,1st Party - Online Store,cust00070@email.com,25-34,M,West Coast
TXN000191,CUST00147,2024-01-27,Theatrical,Action Thriller,22.5,3rd Party - AMC Theatres,,,,Midwest
TXN000192,CUST00065,2024-01-27,Studio Tours,Behind-the-Scenes Experience,168.46,1st Party - Studio Tours,cust00065@email.com,35-44,M,West Coast
TXN000193,CUST00228,2024-01-27,Streaming,Premium Tier Upgrade,96.66,1st Party - Streaming Platform,cust00228@email.com,55+,M,Midwest
TXN000194,CUST00246,2024-01-27,Theatrical,Mystery Manor,15.93,3rd Party - Regal Cinemas,,,,East Coast
TXN000195,CUST00228,2024-01-27,Studio Tours,General Admission,79.55,1st Party - Studio Tours,cust00228@email.com,18-24,F,International
TXN000196,CUST00124,2024-01-28,Online Store,Apparel,59.36,1st Party - Online Store,cust00124@email.com,25-34,Prefer not to say,East Coast
TXN000197,CUST00086,2024-01-28,Consumer Products,Merchandise - Toys,50.64,3rd Party - Walmart,,,,South
TXN000198,CUST00038,2024-01-28,Streaming,Monthly Subscription,13.02,1st Party - Streaming Platform,cust00038@email.com,,,East Coast
TXN000199,CUST00157,2024-01-28,Streaming,Premium Tier Upgrade,144.22,1st Party - Streaming Platform,cust00157@email.com,18-24,Prefer not to say,South
TXN000200,CUST00236,2024-01-28,Streaming,Monthly Subscription,10.99,1st Party - Streaming Platform,cust00236@email.com,,,Midwest
TXN000201,CUST00019,2024-01-28,Studio Tours,General Admission,52.12,1st Party - Studio Tours,cust00019@email.com,18-24,F,Midwest
TXN000202,CUST00083,2024-01-28,Consumer Products,Merchandise - Toys,51.25,3rd Party - Amazon,,,,East Coast
TXN000203,CUST00064,2024-01-28,Studio Tours,General Admission,70.18,1st Party - Studio Tours,cust00064@email.com,25-34,Prefer not to say,East Coast
TXN000204,CUST00029,2024-01-28,Studio Tours,General Admission,54.72,1st Party - Studio Tours,cust00029@email.com,25-34,Other,West Coast
TXN000205,CUST00195,2024-01-28,Online Store,Apparel,19.31,1st Party - Online Store,cust00195@email.com,,,West Coast
TXN000206,CUST00071,2024-01-28,Studio Tours,VIP Tour,162.67,1st Party - Studio Tours,cust00071@email.com,45-54,M,South
TXN000207,CUST00121,2024-01-28,Studio Tours,VIP Tour,323.28,1st Party - Studio Tours,cust00121@email.com,55+,M,South
TXN000208,CUST00768,2024-01-28,Consumer Products,Merchandise - Apparel,51.82,3rd Party - Walmart,,,,South
TXN000209,CUST00087,2024-01-29,Theatrical,Superhero Origins,17.4,3rd Party - AMC Theatres,,,,International
TXN000210,CUST00103,2024-01-29,Studio Tours,Behind-the-Scenes Experience,276.45,1st Party - Studio Tours,cust00103@email.com,18-24,Other,Southwest
TXN000211,CUST00152,2024-01-29,Theatrical,Space Odyssey 2,17.63,3rd Party - Regal Cinemas,,,,West Coast
TXN000212,CUST00238,2024-01-29,Studio Tours,VIP Tour,317.02,1st Party - Studio Tours,cust00238@email.com,35-44,M,East Coast
TXN000213,CUST00010,2024-01-30,Studio Tours,VIP Tour,223.75,1st Party - Studio Tours,cust00010@email.com,18-24,Prefer not to say,South
TXN000214,CUST00105,2024-01-30,Studio Tours,VIP Tour,265.91,1st Party - Studio Tours,cust00105@email.com,,,Southwest
TXN000215,CUST00201,2024-01-30,Consumer Products,Merchandise - Home Goods,79.59,3rd Party - Walmart,,,,Southwest
TXN000216,CUST00148,2024-01-30,Online Store,Apparel,23.88,1st Party - Online Store,cust00148@email.com,45-54,M,South
TXN000217,CUST00145,2024-01-30,Consumer Products,Merchandise - Home Goods,59.7,3rd Party - Walmart,,,,International
TXN000218,CUST00616,2024-01-30,Consumer Products,Merchandise - Home Goods,49.85,3rd Party - Amazon,,,,South
