Customer ID,Email,Age Range,Gender,Primary Business Line,Business Lines Engaged,Total Transactions,Lifetime Value,First Interaction,Last Interaction,Engagement Score,Data Completeness %,Customer Data Type
CUST00191,cust00191@email.com,18-24,F,Studio Tours,4,9,1067.96,2024-01-24,2024-12-09,100,79,Mixed (1st & 3rd Party)
CUST00114,cust00114@email.com,45-54,Other,Streaming,5,11,1067.7,2024-01-27,2024-11-26,100,86,Mixed (1st & 3rd Party)
CUST00108,cust00108@email.com,18-24,Prefer not to say,Online Store,5,11,1064.98,2024-04-11,2024-12-24,100,79,Mixed (1st & 3rd Party)
CUST00183,cust00183@email.com,25-34,F,Studio Tours,5,10,1063.86,2024-06-19,2024-11-02,100,82,Mixed (1st & 3rd Party)
CUST00147,cust00147@email.com,18-24,F,Studio Tours,5,16,1050.23,2024-01-03,2024-12-10,100,75,Mixed (1st & 3rd Party)
CUST00182,cust00182@email.com,25-34,Other,Online Store,5,10,1045.88,2024-01-17,2024-11-23,100,80,Mixed (1st & 3rd Party)
CUST00068,cust00068@email.com,25-34,Prefer not to say,Theatrical,5,11,1045.06,2024-02-13,2024-12-30,100,83,Mixed (1st & 3rd Party)
CUST00190,cust00190@email.com,25-34,Other,Streaming,5,10,1039.88,2024-01-05,2024-12-08,100,95,Mixed (1st & 3rd Party)
CUST00102,cust00102@email.com,25-34,Other,Studio Tours,4,10,1038.25,2024-02-20,2024-12-31,100,99,Mixed (1st & 3rd Party)
CUST00233,cust00233@email.com,25-34,F,Consumer Products,5,13,1025.97,2024-01-07,2024-12-24,100,93,Mixed (1st & 3rd Party)
CUST00079,cust00079@email.com,25-34,F,Online Store,4,10,1021.42,2024-01-05,2024-12-18,100,97,Mixed (1st & 3rd Party)
CUST00211,cust00211@email.com,35-44,F,Studio Tours,5,12,983.98,2024-01-17,2024-11-26,100,91,Mixed (1st & 3rd Party)
CUST00081,cust00081@email.com,25-34,F,Consumer Products,5,11,983.58,2024-01-30,2024-12-06,100,76,Mixed (1st & 3rd Party)
CUST00174,cust00174@email.com,55+,F,Streaming,5,11,976.5,2024-01-14,2024-12-14,100,90,Mixed (1st & 3rd Party)
CUST00157,cust00157@email.com,55+,Prefer not to say,Consumer Products,5,12,976.27,2024-01-28,2024-12-04,100,97,Mixed (1st & 3rd Party)
CUST00024,cust00024@email.com,25-34,F,Online Store,5,12,962.81,2024-01-07,2024-12-30,100,90,Mixed (1st & 3rd Party)
CUST00172,cust00172@email.com,18-24,M,Theatrical,5,10,958.8,2024-01-04,2024-12-02,100,89,Mixed (1st & 3rd Party)
CUST00062,cust00062@email.com,35-44,F,Studio Tours,3,7,958.66,2024-02-16,2024-12-02,77,89,1st Party Only
CUST00046,cust00046@email.com,25-34,M,Studio Tours,3,7,953.21,2024-07-10,2024-10-16,65,80,1st Party Only
CUST00008,cust00008@email.com,18-24,F,Online Store,5,9,953.04,2024-04-02,2024-12-11,100,99,Mixed (1st & 3rd Party)
CUST00007,cust00007@email.com,55+,F,Studio Tours,4,8,939.17,2024-02-16,2024-11-18,85,97,Mixed (1st & 3rd Party)
CUST00206,cust00206@email.com,25-34,Other,Consumer Products,5,10,936.57,2024-01-07,2024-12-22,100,86,Mixed (1st & 3rd Party)
CUST00048,cust00048@email.com,18-24,F,Online Store,4,7,936.42,2024-02-05,2024-11-28,76,89,Mixed (1st & 3rd Party)
CUST00121,cust00121@email.com,35-44,M,Studio Tours,4,7,933.66,2024-01-13,2024-07-12,41,76,Mixed (1st & 3rd Party)
CUST00107,cust00107@email.com,18-24,F,Consumer Products,5,13,928.58,2024-01-13,2024-12-26,100,92,Mixed (1st & 3rd Party)
CUST00022,cust00022@email.com,25-34,F,Streaming,3,6,927.99,2024-01-06,2024-06-14,22,98,1st Party Only
CUST00059,cust00059@email.com,18-24,Prefer not to say,Streaming,4,10,927.04,2024-02-16,2024-12-25,100,94,Mixed (1st & 3rd Party)
CUST00188,cust00188@email.com,35-44,F,Streaming,5,11,893.14,2024-01-15,2024-07-29,93,99,Mixed (1st & 3rd Party)
CUST00158,cust00158@email.com,18-24,M,Streaming,3,9,891.99,2024-03-27,2024-12-17,100,86,1st Party Only
CUST00166,cust00166@email.com,18-24,F,Consumer Products,4,11,891.16,2024-01-09,2024-11-16,100,86,Mixed (1st & 3rd Party)
CUST00187,cust00187@email.com,45-54,Prefer not to say,Online Store,4,11,879.39,2024-01-05,2024-12-12,100,100,Mixed (1st & 3rd Party)
CUST00038,cust00038@email.com,35-44,M,Online Store,4,10,876.45,2024-01-28,2024-11-03,100,94,Mixed (1st & 3rd Party)
CUST00127,cust00127@email.com,25-34,M,Streaming,3,10,875.22,2024-01-20,2024-12-27,100,80,Mixed (1st & 3rd Party)
CUST00200,cust00200@email.com,55+,F,Consumer Products,5,14,875.11,2024-02-07,2024-12-21,100,97,Mixed (1st & 3rd Party)
CUST00018,cust00018@email.com,25-34,M,Streaming,3,9,874.29,2024-01-24,2024-12-06,100,76,1st Party Only
CUST00098,cust00098@email.com,35-44,M,Consumer Products,4,8,873.65,2024-01-09,2024-12-22,94,77,Mixed (1st & 3rd Party)
CUST00076,cust00076@email.com,45-54,F,Consumer Products,5,13,866.26,2024-01-13,2024-12-24,100,76,Mixed (1st & 3rd Party)
CUST00078,cust00078@email.com,45-54,Prefer not to say,Online Store,5,10,857.97,2024-03-11,2024-12-29,100,98,Mixed (1st & 3rd Party)
CUST00082,cust00082@email.com,45-54,F,Studio Tours,5,11,843.38,2024-02-02,2024-11-25,100,97,Mixed (1st & 3rd Party)
CUST00004,cust00004@email.com,45-54,Other,Streaming,3,9,840.39,2024-02-27,2024-12-16,100,98,1st Party Only
CUST00215,cust00215@email.com,18-24,F,Consumer Products,3,6,839.61,2024-02-03,2024-11-25,63,79,Mixed (1st & 3rd Party)
CUST00229,cust00229@email.com,25-34,Other,Theatrical,5,13,838.6,2024-05-20,2024-12-19,100,81,Mixed (1st & 3rd Party)
CUST00242,cust00242@email.com,18-24,F,Studio Tours,5,8,837.99,2024-02-14,2024-12-08,90,75,Mixed (1st & 3rd Party)
CUST00145,cust00145@email.com,35-44,F,Streaming,5,9,837.67,2024-01-30,2024-12-17,100,98,Mixed (1st & 3rd Party)
CUST00205,cust00205@email.com,45-54,M,Online Store,5,13,837.56,2024-01-05,2024-12-15,100,78,Mixed (1st & 3rd Party)
CUST00220,cust00220@email.com,25-34,Other,Studio Tours,5,10,837,2024-02-11,2024-12-24,100,91,Mixed (1st & 3rd Party)
CUST00052,cust00052@email.com,18-24,F,Streaming,3,7,829.11,2024-01-11,2024-12-21,82,97,Mixed (1st & 3rd Party)
CUST00071,cust00071@email.com,18-24,Prefer not to say,Streaming,3,6,826.33,2024-01-15,2024-11-23,62,100,1st Party Only
CUST00126,cust00126@email.com,25-34,Prefer not to say,Consumer Products,5,14,821.75,2024-01-07,2024-11-18,100,88,Mixed (1st & 3rd Party)
CUST00075,cust00075@email.com,35-44,M,Studio Tours,4,7,819.81,2024-01-24,2024-12-03,77,82,Mixed (1st & 3rd Party)
CUST00237,cust00237@email.com,35-44,Other,Streaming,4,8,819.02,2024-01-25,2024-11-23,86,83,Mixed (1st & 3rd Party)
CUST00072,cust00072@email.com,45-54,Other,Online Store,3,8,811.07,2024-02-10,2024-12-29,96,76,1st Party Only
CUST00124,cust00124@email.com,18-24,F,Consumer Products,5,10,806.91,2024-01-28,2024-12-11,100,93,Mixed (1st & 3rd Party)
CUST00129,cust00129@email.com,25-34,M,Consumer Products,5,8,797.03,2024-01-10,2024-12-16,92,93,Mixed (1st & 3rd Party)
CUST00064,cust00064@email.com,35-44,M,Studio Tours,4,7,795.53,2024-01-28,2024-10-11,64,97,Mixed (1st & 3rd Party)
CUST00132,cust00132@email.com,25-34,F,Online Store,5,9,792.14,2024-01-26,2024-10-27,92,77,Mixed (1st & 3rd Party)
CUST00031,cust00031@email.com,35-44,F,Online Store,5,10,787.07,2024-02-12,2024-12-22,100,85,Mixed (1st & 3rd Party)
CUST00088,cust00088@email.com,55+,Prefer not to say,Consumer Products,5,10,783.27,2024-01-25,2024-09-16,94,90,Mixed (1st & 3rd Party)
CUST00061,cust00061@email.com,18-24,Other,Streaming,5,8,782.47,2024-02-22,2024-12-13,92,75,Mixed (1st & 3rd Party)
CUST00212,cust00212@email.com,18-24,F,Streaming,5,10,777.45,2024-01-04,2024-09-13,93,100,Mixed (1st & 3rd Party)
CUST00115,cust00115@email.com,18-24,F,Streaming,5,11,772.87,2024-01-06,2024-11-02,100,100,Mixed (1st & 3rd Party)
CUST00128,cust00128@email.com,45-54,Other,Consumer Products,4,13,769.03,2024-01-16,2024-12-19,100,94,Mixed (1st & 3rd Party)
CUST00027,cust00027@email.com,18-24,F,Online Store,4,8,767.95,2024-04-20,2024-12-22,94,76,Mixed (1st & 3rd Party)
CUST00130,cust00130@email.com,55+,F,Consumer Products,5,7,767.89,2024-01-13,2024-11-05,70,91,Mixed (1st & 3rd Party)
CUST00149,cust00149@email.com,18-24,Other,Streaming,4,7,767.38,2024-05-02,2024-11-30,76,83,Mixed (1st & 3rd Party)
CUST00224,cust00224@email.com,18-24,Other,Streaming,5,11,765.98,2024-01-20,2024-12-06,100,79,Mixed (1st & 3rd Party)
CUST00141,cust00141@email.com,55+,F,Consumer Products,5,12,754.95,2024-02-13,2024-11-25,100,81,Mixed (1st & 3rd Party)
CUST00217,cust00217@email.com,35-44,Other,Online Store,4,9,746.68,2024-02-11,2024-11-21,98,77,Mixed (1st & 3rd Party)
CUST00100,cust00100@email.com,18-24,Prefer not to say,Theatrical,5,14,740.13,2024-01-06,2024-12-04,100,96,Mixed (1st & 3rd Party)
CUST00236,cust00236@email.com,18-24,Prefer not to say,Streaming,5,11,735.5,2024-01-28,2024-11-04,100,81,Mixed (1st & 3rd Party)
CUST00243,cust00243@email.com,18-24,M,Consumer Products,5,9,731.95,2024-02-26,2024-10-23,91,96,Mixed (1st & 3rd Party)
CUST00054,cust00054@email.com,35-44,M,Online Store,3,5,729.04,2024-02-05,2024-10-22,42,97,1st Party Only
CUST00221,cust00221@email.com,18-24,F,Streaming,5,10,712.01,2024-01-25,2024-12-29,100,83,Mixed (1st & 3rd Party)
CUST00228,cust00228@email.com,35-44,M,Streaming,4,11,711.15,2024-01-18,2024-12-17,100,91,Mixed (1st & 3rd Party)
CUST00167,cust00167@email.com,18-24,Prefer not to say,Online Store,4,5,709.34,2024-04-17,2024-09-29,37,100,Mixed (1st & 3rd Party)
CUST00001,cust00001@email.com,35-44,Other,Online Store,3,7,708.41,2024-03-19,2024-11-19,74,81,1st Party Only
CUST00103,cust00103@email.com,45-54,F,Online Store,4,9,699.86,2024-01-29,2024-12-10,100,79,Mixed (1st & 3rd Party)
CUST00161,cust00161@email.com,45-54,F,Theatrical,4,10,699.17,2024-03-09,2024-10-19,100,78,Mixed (1st & 3rd Party)
CUST00016,cust00016@email.com,35-44,M,Studio Tours,4,7,695.45,2024-01-04,2024-11-02,69,80,Mixed (1st & 3rd Party)
CUST00097,cust00097@email.com,25-34,M,Theatrical,4,11,693.77,2024-02-06,2024-12-02,100,86,Mixed (1st & 3rd Party)
CUST00138,cust00138@email.com,55+,Other,Studio Tours,4,8,688.51,2024-01-05,2024-12-25,94,75,Mixed (1st & 3rd Party)
CUST00116,cust00116@email.com,18-24,Prefer not to say,Online Store,5,6,677.22,2024-03-24,2024-11-16,61,86,Mixed (1st & 3rd Party)
CUST00219,cust00219@email.com,45-54,M,Consumer Products,5,10,669.37,2024-02-12,2024-12-28,100,76,Mixed (1st & 3rd Party)
CUST00207,cust00207@email.com,18-24,F,Online Store,4,11,666.72,2024-01-17,2024-12-23,100,87,Mixed (1st & 3rd Party)
CUST00169,cust00169@email.com,18-24,Prefer not to say,Online Store,3,9,666.21,2024-02-02,2024-11-15,96,83,Mixed (1st & 3rd Party)
CUST00117,cust00117@email.com,18-24,M,Streaming,4,7,662.81,2024-03-09,2024-11-29,76,100,Mixed (1st & 3rd Party)
CUST00245,cust00245@email.com,35-44,Prefer not to say,Online Store,5,10,658.94,2024-01-08,2024-12-31,100,99,Mixed (1st & 3rd Party)
CUST00009,cust00009@email.com,25-34,Prefer not to say,Studio Tours,4,6,651.67,2024-05-13,2024-11-04,58,88,Mixed (1st & 3rd Party)
CUST00041,cust00041@email.com,55+,F,Streaming,4,6,651.17,2024-02-26,2024-12-14,68,88,Mixed (1st & 3rd Party)
CUST00123,cust00123@email.com,55+,F,Studio Tours,4,5,649.34,2024-02-24,2024-12-07,54,77,Mixed (1st & 3rd Party)
CUST00044,cust00044@email.com,45-54,Prefer not to say,Streaming,5,7,640.52,2024-02-06,2024-12-11,79,79,Mixed (1st & 3rd Party)
CUST00226,cust00226@email.com,18-24,F,Consumer Products,5,10,634.62,2024-02-27,2024-11-24,100,77,Mixed (1st & 3rd Party)
CUST00248,cust00248@email.com,25-34,M,Streaming,4,6,626.76,2024-03-15,2024-10-05,50,79,Mixed (1st & 3rd Party)
CUST00202,cust00202@email.com,45-54,M,Online Store,3,13,623.38,2024-02-05,2024-09-15,100,79,Mixed (1st & 3rd Party)
CUST00216,cust00216@email.com,18-24,M,Streaming,3,7,618.83,2024-03-15,2024-12-14,80,93,Mixed (1st & 3rd Party)
CUST00218,cust00218@email.com,25-34,F,Consumer Products,3,5,616.69,2024-01-09,2024-12-27,59,92,Mixed (1st & 3rd Party)
CUST00213,cust00213@email.com,45-54,Prefer not to say,Consumer Products,4,11,611.69,2024-01-06,2024-12-20,100,86,Mixed (1st & 3rd Party)
CUST00006,cust00006@email.com,18-24,Prefer not to say,Online Store,4,6,609.65,2024-01-08,2024-11-28,64,88,Mixed (1st & 3rd Party)
CUST00070,cust00070@email.com,45-54,M,Online Store,3,6,607.21,2024-01-24,2024-08-14,37,96,Mixed (1st & 3rd Party)
CUST00033,cust00033@email.com,18-24,F,Online Store,4,9,602.86,2024-01-08,2024-12-03,100,78,Mixed (1st & 3rd Party)
CUST00232,cust00232@email.com,18-24,Other,Online Store,4,7,601.89,2024-01-31,2024-12-11,79,95,Mixed (1st & 3rd Party)
CUST00047,cust00047@email.com,35-44,Other,Online Store,4,5,601.25,2024-01-14,2024-12-24,58,85,Mixed (1st & 3rd Party)
CUST00250,cust00250@email.com,55+,F,Consumer Products,4,8,593.04,2024-02-19,2024-12-16,92,92,Mixed (1st & 3rd Party)
CUST00195,cust00195@email.com,35-44,M,Streaming,5,10,591.52,2024-01-19,2024-12-24,100,84,Mixed (1st & 3rd Party)
CUST00073,cust00073@email.com,35-44,F,Streaming,4,7,588.74,2024-01-21,2024-10-01,61,90,Mixed (1st & 3rd Party)
CUST00074,cust00074@email.com,45-54,M,Online Store,4,5,588.49,2024-02-24,2024-10-02,38,94,Mixed (1st & 3rd Party)
CUST00208,cust00208@email.com,18-24,F,Consumer Products,4,6,587.63,2024-01-16,2024-12-30,72,81,Mixed (1st & 3rd Party)
CUST00014,cust00014@email.com,35-44,M,Streaming,5,8,585.9,2024-02-20,2024-12-22,94,79,Mixed (1st & 3rd Party)
CUST00152,cust00152@email.com,45-54,Prefer not to say,Studio Tours,4,9,585.74,2024-01-26,2024-12-22,100,79,Mixed (1st & 3rd Party)
CUST00063,cust00063@email.com,45-54,F,Streaming,4,10,585.54,2024-01-05,2024-12-18,100,97,Mixed (1st & 3rd Party)
CUST00239,cust00239@email.com,25-34,M,Consumer Products,4,9,576.01,2024-01-14,2024-11-16,97,99,Mixed (1st & 3rd Party)
CUST00142,cust00142@email.com,18-24,M,Online Store,4,11,574.8,2024-01-17,2024-10-12,100,93,Mixed (1st & 3rd Party)
CUST00012,cust00012@email.com,55+,Prefer not to say,Streaming,4,6,572.81,2024-02-02,2024-11-20,62,97,Mixed (1st & 3rd Party)
CUST00028,cust00028@email.com,25-34,M,Streaming,5,9,569.06,2024-02-27,2024-10-03,86,96,Mixed (1st & 3rd Party)
CUST00013,cust00013@email.com,55+,F,Streaming,4,8,566.66,2024-01-05,2024-11-20,86,94,Mixed (1st & 3rd Party)
CUST00214,cust00214@email.com,25-34,Prefer not to say,Consumer Products,4,11,564.39,2024-03-17,2024-11-06,100,77,Mixed (1st & 3rd Party)
CUST00037,cust00037@email.com,35-44,Other,Studio Tours,3,5,557.25,2024-02-17,2024-05-28,6,89,Mixed (1st & 3rd Party)
CUST00104,cust00104@email.com,25-34,Prefer not to say,Studio Tours,3,8,555.54,2024-01-17,2024-10-29,80,90,Mixed (1st & 3rd Party)
CUST00131,cust00131@email.com,55+,F,Online Store,4,9,554.54,2024-02-18,2024-12-27,100,93,Mixed (1st & 3rd Party)
CUST00193,cust00193@email.com,18-24,Other,Theatrical,4,9,550.61,2024-01-07,2024-12-28,100,93,Mixed (1st & 3rd Party)
CUST00042,cust00042@email.com,18-24,Other,Online Store,4,6,549.23,2024-03-02,2024-09-24,48,80,Mixed (1st & 3rd Party)
CUST00204,cust00204@email.com,45-54,Other,Consumer Products,5,7,543.05,2024-01-20,2024-12-18,81,96,Mixed (1st & 3rd Party)
CUST00240,cust00240@email.com,35-44,F,Online Store,4,7,539.1,2024-01-09,2024-12-29,84,92,Mixed (1st & 3rd Party)
CUST00090,cust00090@email.com,35-44,M,Studio Tours,4,5,538.53,2024-02-23,2024-12-28,59,95,Mixed (1st & 3rd Party)
CUST00049,cust00049@email.com,25-34,F,Online Store,4,7,536.01,2024-01-10,2024-12-29,84,93,Mixed (1st & 3rd Party)
CUST00168,cust00168@email.com,25-34,F,Theatrical,5,8,535.41,2024-01-26,2024-11-24,87,98,Mixed (1st & 3rd Party)
CUST00057,cust00057@email.com,18-24,F,Online Store,5,8,530.93,2024-01-11,2024-12-26,95,90,Mixed (1st & 3rd Party)
CUST00109,cust00109@email.com,18-24,F,Streaming,5,9,513.47,2024-01-17,2024-12-06,100,79,Mixed (1st & 3rd Party)
CUST00176,cust00176@email.com,25-34,Prefer not to say,Online Store,5,11,506.5,2024-03-06,2024-12-25,100,91,Mixed (1st & 3rd Party)
CUST00165,cust00165@email.com,18-24,M,Consumer Products,3,10,503.51,2024-01-16,2024-12-24,100,92,Mixed (1st & 3rd Party)
CUST00140,cust00140@email.com,35-44,Other,Online Store,5,8,500.36,2024-01-03,2024-10-09,75,94,Mixed (1st & 3rd Party)
CUST00155,cust00155@email.com,18-24,Other,Streaming,3,7,497.47,2024-04-18,2024-11-07,70,86,Mixed (1st & 3rd Party)
CUST00032,cust00032@email.com,18-24,F,Online Store,2,4,497.42,2024-01-22,2024-07-09,4,76,1st Party Only
CUST00143,cust00143@email.com,18-24,Prefer not to say,Theatrical,4,11,489.4,2024-01-07,2024-12-23,100,96,Mixed (1st & 3rd Party)
